rowid,pl_hostname,pl_letter,pl_pnum
2748,Kepler-66,b,1
2749,Kepler-660,b,1
2750,Kepler-661,b,1
2751,Kepler-662,b,1
2752,Kepler-663,b,1
2753,Kepler-664,b,1
2754,Kepler-665,b,1
2755,Kepler-666,b,1
2756,Kepler-667,b,1
2757,Kepler-668,b,1
2758,Kepler-669,b,1
2759,Kepler-67,b,1
2760,Kepler-670,b,1
2761,Kepler-671,b,1
2762,Kepler-672,b,1
2763,Kepler-673,b,1
2764,Kepler-674,b,1
2765,Kepler-675,b,1
2766,Kepler-676,b,1
2767,Kepler-677,b,1
2768,Kepler-678,b,1
2769,Kepler-679,b,1
2770,Kepler-68,b,3
2771,Kepler-68,c,3
2772,Kepler-68,d,3
2773,Kepler-680,b,1
2774,Kepler-681,b,1
2775,Kepler-682,b,1
2776,Kepler-683,b,1
2777,Kepler-684,b,1
2778,Kepler-685,b,1
2779,Kepler-686,b,1
2780,Kepler-687,b,1
2781,Kepler-688,b,1
2782,Kepler-689,b,1
2783,Kepler-69,b,2
2784,Kepler-69,c,2
2785,Kepler-690,b,1
2786,Kepler-691,b,1
2787,Kepler-692,b,1
2788,Kepler-693,b,1
2789,Kepler-694,b,1
2790,Kepler-695,b,1
2791,Kepler-696,b,1
2792,Kepler-697,b,1
2793,Kepler-698,b,1
2794,Kepler-699,b,1
2795,Kepler-7,b,1
2796,Kepler-700,b,1
2797,Kepler-701,b,1
2798,Kepler-702,b,1
2799,Kepler-703,b,1
2800,Kepler-704,b,1
2801,Kepler-705,b,1
2802,Kepler-706,b,1
2803,Kepler-707,b,1
2804,Kepler-708,b,1
2805,Kepler-709,b,1
2806,Kepler-710,b,1
2807,Kepler-711,b,1
2808,Kepler-712,b,2
2809,Kepler-712,c,2
2810,Kepler-713,b,1
2811,Kepler-714,b,1
2812,Kepler-715,b,1
2813,Kepler-716,b,1
2814,Kepler-717,b,1
2815,Kepler-718,b,1
2816,Kepler-719,b,1
2817,Kepler-720,b,1
2818,Kepler-721,b,1
2819,Kepler-722,b,2
2820,Kepler-722,c,2
2821,Kepler-723,b,1
2822,Kepler-724,b,1
2823,Kepler-725,b,1
2824,Kepler-726,b,1
2825,Kepler-727,b,1
2826,Kepler-728,b,1
2827,Kepler-729,b,1
2828,Kepler-730,b,1
2829,Kepler-731,b,1
2830,Kepler-732,b,2
2831,Kepler-732,c,2
2832,Kepler-733,b,1
2833,Kepler-734,b,1
2834,Kepler-735,b,1
2835,Kepler-736,b,1
2836,Kepler-737,b,1
2837,Kepler-738,b,1
2838,Kepler-739,b,1
2839,Kepler-74,b,1
2840,Kepler-740,b,1
2841,Kepler-741,b,1
2842,Kepler-742,b,1
2843,Kepler-743,b,1
2844,Kepler-744,b,1
2845,Kepler-745,b,1
2846,Kepler-746,b,1
2847,Kepler-747,b,1
2848,Kepler-748,b,1
2849,Kepler-749,b,1
2850,Kepler-75,b,1
2851,Kepler-750,b,2
2852,Kepler-750,c,2
2853,Kepler-751,b,1
2854,Kepler-752,b,1
2855,Kepler-753,b,1
2856,Kepler-754,b,1
2857,Kepler-755,b,2
2858,Kepler-755,c,2
2859,Kepler-756,b,1
2860,Kepler-757,b,1
2861,Kepler-758,b,4
2862,Kepler-758,c,4
2863,Kepler-758,d,4
2864,Kepler-758,e,4
2865,Kepler-759,b,1
2866,Kepler-76,b,1
2867,Kepler-760,b,2
2868,Kepler-760,c,2
2869,Kepler-761,b,1
2870,Kepler-762,b,1
2871,Kepler-763,b,1
2872,Kepler-764,b,1
2873,Kepler-765,b,1
2874,Kepler-766,b,1
2875,Kepler-767,b,1
2876,Kepler-768,b,1
2877,Kepler-769,b,2
2878,Kepler-769,c,2
2879,Kepler-77,b,1
