full_name,name,prefix,diameter,BV,UB,IR,spec_B,spec_T
"   361 Bononia (1893 P)",Bononia,,154.334,.743,.271,,,DP
"   362 Havnia (1893 R)",Havnia,,98,.715,.346,,,XC
"   363 Padua (1893 S)",Padua,,97,.751,.375,,X,XC
"   364 Isara (1893 T)",Isara,,25.901,.912,.538,,,S
"   365 Corduba (1893 V)",Corduba,,86.773,.714,.331,,C,X
"   366 Vincentina (1893 W)",Vincentina,,86.368,,,,Ch,
"   367 Amicitia (1893 AA)",Amicitia,,21.243,,,,,
"   368 Haidea (1893 AB)",Haidea,,69.277,.734,.292,,,D
"   369 Aeria (1893 AE)",Aeria,,73.767,.711,.274,,,M
"   370 Modestia (1893 AC)",Modestia,,38.093,.709,.289,,,X
"   371 Bohemia (1893 AD)",Bohemia,,52.976,.822,.511,,S,QSV
"   372 Palma (1893 AH)",Palma,,173.642,,,,B,BFC
"   373 Melusina (1893 AJ)",Melusina,,98.695,.669,.371,,,C
"   374 Burgundia (1893 AK)",Burgundia,,44.67,.847,.448,,S,S
"   375 Ursula (1893 AL)",Ursula,,216,.683,.341,,Xc,C
"   376 Geometria (1893 AM)",Geometria,,35.465,.891,.476,,Sl,S
"   377 Campania (1893 AN)",Campania,,90.346,.730,.305,,Ch,PD
"   378 Holmia (1893 AP)",Holmia,,27.831,.874,.424,,S,S
"   379 Huenna (1894 AQ)",Huenna,,84.787,.672,.287,,C,B
"   380 Fiducia (1894 AR)",Fiducia,,67.508,.707,.376,,,C
"   381 Myrrha (1894 AS)",Myrrha,,127.639,.683,.300,,Cb,C
"   382 Dodona (1894 AT)",Dodona,,65.209,.690,.243,,,M
"   383 Janina (1894 AU)",Janina,,43.482,.682,.352,,B,B
"   384 Burdigala (1894 AV)",Burdigala,,34.435,.846,.419,,S,S
"   385 Ilmatar (1894 AX)",Ilmatar,,85.837,.847,.370,,,S
"   386 Siegena (1894 AY)",Siegena,,165.01,.723,.407,,C,C
"   387 Aquitania (1894 AZ)",Aquitania,,100.51,.881,.449,,L,S
"   388 Charybdis (1894 BA)",Charybdis,,125.754,.719,.280,,C,C
"   389 Industria (1894 BB)",Industria,,74.378,.855,.420,,S,S
"   390 Alma (1894 BC)",Alma,,25.688,.789,.293,,,DT
"   391 Ingeborg (1894 BE)",Ingeborg,,15.751,,,,S,S
"   392 Wilhelmina (1894 BF)",Wilhelmina,,60.750,,,,Ch,
"   393 Lampetia (1894 BG)",Lampetia,,96.89,.740,.324,,Xc,C
"   394 Arduina (1894 BH)",Arduina,,29.970,.826,.411,,S,S
"   395 Delia (1894 BK)",Delia,,44.189,.726,.356,,Ch,C
"   396 Aeolia (1894 BL)",Aeolia,,39.242,,,,Xe,
