Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
NN 3372 B,,NN 3372 B,,m
GJ 1092,,GJ 1092,,m
NN 3612,,NN 3612,,k-m
Gl 425 B,,Gl 425 B,,m
NN 3704,,NN 3704,,M4
GJ 1180,,GJ 1180,,
NN 3817,,NN 3817,,M3
NN 4044,,NN 4044,,m
Gl 425,,Gl 425,,K4/K5V
Gl 507,,Gl 507,,M0
BD-18°4986,,Gl 716,,K1V
NN 3001,,NN 3001,,DC9
Gl 164,,Gl 164,,M3.5
GJ 1088,,GJ 1088,,M3.5
NN 3423,,NN 3423,,m
Gl 319 C,,Gl 319 C,,M3.5
NN 3586,,NN 3586,,k-m
NN 3900,,NN 3900,,M3
NN 3971,,NN 3971,,m
Gl 732,,Gl 732,,sdG0
Gl 732 B,,Gl 732 B,,
NN 4239,,NN 4239,,dM5
58 Eridani,58 Eridani,Gl 177,,G3V
Gl 319,,Gl 319,,M0
BD+46°1889,,Gl 521,,M2
GJ 1012,,GJ 1012,,M4
Gl 742,,Gl 742,,DXP5
Gl 767 B,,Gl 767 B,,M2 :
Gl 774,,Gl 774,,m
Gl 774 B,,Gl 774 B,,m
BD+63°229,,Gl 69,,K5V
Gl 146,,Gl 146,,K7V
BD+09°2636,,Gl 471,,M0:
Gl 556,,Gl 556,,K3V
BD+31°3767,,Gl 767,,M1+...
NN 4224,,NN 4224,,M6
GJ 1267,,GJ 1267,,K7V
NN 3009,,NN 3009,,M4
Gl 130.1B,,Gl 130.1B,,M2
Gl 354 B,,Gl 354 B,,
Gl 427,,Gl 427,,DA7
NN 3709 B,,NN 3709 B,,m
50 Upsilon Andromedae,50 Upsilon Andromedae,Gl 61,,F8V
Gl 130.1,,Gl 130.1,,M2
Gl 174,,Gl 174,,K3V
BD+36°1970,,Gl 353,,M0
25 Theta Ursae Majoris,25 Theta Ursae Majoris,Gl 354,,F6IV
Gl 655,,Gl 655,,M3
Gl 868,,Gl 868,,K4/K5V
GJ 1194,,GJ 1194,,m
GJ 1194 B,,GJ 1194 B,,m
NN 4006,,NN 4006,,
Gl 853 B,,Gl 853 B,,
NN 3371,,NN 3371,,M1
Gl 469,,Gl 469,,M:
NN 4040,,NN 4040,,M:
Gl 853,,Gl 853,,G1V
GJ 1035,,GJ 1035,,m
NN 3326,,NN 3326,,m
NN 3520,,NN 3520,,m
Gl 333,,Gl 333,,M3
Gl 398,,Gl 398,,dM4 e
Gl 528 B,,Gl 528 B,,dK6
Gl 771 B,,Gl 771 B,,M3
Gl 5,,Gl 5,,K0V
Gl 133,,Gl 133,,M2:
10 Tauri,10 Tauri,Gl 147,,F9V
Hip 19337,,,,M1
BD+62°780,,Gl 215,,M0
Gl 369,,Gl 369,,M0
Gl 386,,Gl 386,,M0
BD+27°2296,,Gl 528,,K2
Gl 615,,Gl 615,,K0V
Gl 656,,Gl 656,,K0V
60 Beta Aquilae,60 Beta Aquilae,Gl 771,,G8IVvar
Gl 813,,Gl 813,,M3
Gl 162,,Gl 162,,M1
NN 3779,,NN 3779,,M3.5
Gl 516 B,,Gl 516 B,,dM3.5e
GJ 1270,,GJ 1270,,m
Gl 895.2,,Gl 895.2,,DAV4
Gl 516,,Gl 516,,M4Ve
Gl 816,,Gl 816,,M3
35 Gamma Cephei,35 Gamma Cephei,Gl 903,,K1IV
17 Iota Piscium,17 Iota Piscium,Gl 904,,F7V
NN 3053,,NN 3053,,m
NN 3336,,NN 3336,,M2
Gl 394,,Gl 394,,K7 Ve
NN 3637,,NN 3637,,m
Gl 524,,Gl 524,,k
GJ 1182,,GJ 1182,,m
NN 3898,,NN 3898,,m
NN 4055,,NN 4055,,M3
NN 4056,,NN 4056,,g
NN 4169,,NN 4169,,m
Gl 836,,Gl 836,,M3.5
NN 4279,,NN 4279,,dM3 :
GJ 1292,,GJ 1292,,k-m
Gl 310,,Gl 310,,M2
Hip 52596,,,,
BD-07°4156,,Gl 606,,M0
Gl 739,,Gl 739,,M4
Wo 9773,,Wo 9773,,M3
Gl 898,,Gl 898,,K5/M0V
GJ 1072,,GJ 1072,,m
GJ 1046,,GJ 1046,,
Gl 104,,Gl 104,,M2
1 Tau 1 Eridani,1 Tau 1 Eridani,Gl 111,,F5/F6V
Gl 184,,Gl 184,,M0
Hip 56157,,,,
BD+50°2030,,Gl 532,,K5
18 Scorpii,18 Scorpii,Gl 616,,G1V
BD-07°5871,,Gl 875,,K5
Gl 899,,Gl 899,,M3
NN 3061 B,,NN 3061 B,,m
Gl 127 B,,Gl 127 B,,G7 V
NN 3490 B,,NN 3490 B,,
Gl 400 B,,Gl 400 B,,
NN 3861,,NN 3861,,m
Gl 684 B,,Gl 684 B,,K3 V
GJ 1220,,GJ 1220,,m
NN 4038,,NN 4038,,m
NN 4073,,NN 4073,,m
NN 4288,,NN 4288,,m
NN 4289 B,,NN 4289 B,,m
Gl 878,,Gl 878,,M3
Gl 42,,Gl 42,,K2V
Alpha Fornacis,Alpha Fornacis,Gl 127,,F8V
Hip 17420,,,,K2V
Gl 289,,Gl 289,,M2
BD+39°2376,,Gl 400,,M2
47 Ursae Majoris,47 Ursae Majoris,Gl 407,,G0V
26 Draconis,26 Draconis,Gl 684,,G0V
Gl 685,,Gl 685,,M1
BD-03°4380,,Gl 726,,K5
Gl 282 B,,Gl 282 B,,K5
NN 3655,,NN 3655,,M8
NN 3693,,NN 3693,,M6 :
Gl 512 B,,Gl 512 B,,M4
Gl 589,,Gl 589,,M4.5:
Gl 589 B,,Gl 589 B,,M6
Gl 116,,Gl 116,,K6:
Gl 282,,Gl 282,,K2V
NN 3564,,NN 3564,,M:
Gl 512,,Gl 512,,M4+...
Gl 529,,Gl 529,,K4/K5V
Gl 770,,Gl 770,,K3/K4V
Wo 9716,,Wo 9716,,M4
Gl 875.1,,Gl 875.1,,M3.5Ve
NN 3136,,NN 3136,,M5 :
NN 3211,,NN 3211,,
NN 3237,,NN 3237,,dM5 :
Gl 168.1,,Gl 168.1,,
NN 3467,,NN 3467,,m
NN 3729,,NN 3729,,m
42 Alpha Comae Berenices,42 Alpha Comae Berenices,Gl 501 B,,F5 V
NN 3943,,NN 3943,,k-m
NN 4060,,NN 4060,,K7
NN 3148,,NN 3148,,
BD+17°917,,Gl 201,,K2
BD-02°2198,,,,
3 Pi 1 Ursae Majoris,3 Pi 1 Ursae Majoris,Gl 311,,G1.5Vb
BD+16°2404,,Gl 481,,K2
42 Alpha Comae Berenices,42 Alpha Comae Berenices,Gl 501,,F5V
NN 3846,,NN 3846,,M:
Gl 552,,Gl 552,,M3
Rasalhague,55 Alpha Ophiuchi,Gl 681,Rasalhague,A5III
3 Eta Cephei,3 Eta Cephei,Gl 807,,K0IV
Wo 9724,,Wo 9724,,M1:
Gl 363,,Gl 363,,M3.5
Gl 611 B,,Gl 611 B,,m
Gl 794,,Gl 794,,DA3
NN 3438,,NN 3438,,M1
BD+30°2512,,Gl 546,,K5V
Gl 611,,Gl 611,,G8V
Gl 613,,Gl 613,,K3V
Hip 81935,,,,K2V
72 Herculis,72 Herculis,Gl 672,,G0V
NN 3093,,NN 3093,,m
NN 3094 B,,NN 3094 B,,m
NN 3614,,NN 3614,,DQP9
GJ 1157,,GJ 1157,,k
GJ 1171,,GJ 1171,,
GJ 1177 B,,GJ 1177 B,,
NN 3866,,NN 3866,,DC9
NN 3893,,NN 3893,,m
Gl 630.1,,Gl 630.1,,dM4 e
Gl 630.1B,,Gl 630.1B,,DQ8
NN 3997,,NN 3997,,M2
NN 4026,,NN 4026,,m
Gl 712,,Gl 712,,M3
Gl 714,,Gl 714,,M1
BD-08°2582,,Gl 334,,M0
Gl 521.1,,Gl 521.1,,M0V
NN 3892,,NN 3892,,M:
BD+04°4157,,Gl 763,,K5
Gl 326,,Gl 326,,M6 J
Gl 326 B,,Gl 326 B,,
Gl 331 B,,Gl 331 B,,dM1 J
Gl 331 C,,Gl 331 C,,
Gl 549 B,,Gl 549 B,,M3
Gl 781.1B,,Gl 781.1B,,M3.5
NN 4203,,NN 4203,,dM
NN 4204 B,,NN 4204 B,,m
BD+25°613,,Gl 154,,K5
Hip 28035,,,,
Gl 259,,Gl 259,,K1V
9 Iota Ursae Majoris,9 Iota Ursae Majoris,Gl 331,,A7IV
Hip 52190,,,,
23 Theta Boötis,23 Theta Boötis,Gl 549,,F7V
Nu 2 Lupi,Nu 2 Lupi,Gl 582,,G2V
Hip 82926,,,,M3Ve+...
Gl 781.1,,Gl 781.1,,M
Gl 796,,Gl 796,,G8/K0V
NN 3252,,NN 3252,,m
NN 3305,,NN 3305,,M1
GJ 1099,,GJ 1099,,m
NN 3649,,NN 3649,,M1
NN 3775,,NN 3775,,m
NN 3809,,NN 3809,,M2:
NN 3894,,NN 3894,,M4
Gl 596.1B,,Gl 596.1B,,
NN 4228,,NN 4228,,m
111 Tauri,111 Tauri,Gl 202,,F8V SB
Gl 233,,Gl 233,,K0
Gl 420,,Gl 420,,K5
23 Psi Serpentis,23 Psi Serpentis,Gl 596.1,,G5V
Gl 604,,Gl 604,,K5V
16 Psi Capricorni,16 Psi Capricorni,Gl 805,,F5V
Gl 833,,Gl 833,,K2V
Gl 231.3,,Gl 231.3,,M4
Gl 269 B,,Gl 269 B,,K4 V
NN 3770,,NN 3770,,DC9+
Gl 514.1,,Gl 514.1,,M4 :
NN 4338 B,,NN 4338 B,,M3 :
BD+01°543,,Gl 123,,M0V
Gl 269,,Gl 269,,K2V
1 Alpha Corvi,1 Alpha Corvi,Gl 455.3,,F0IV/V
Hip 101516,,,,DA
Gl 811.1,,Gl 811.1,,M4
Gl 818,,Gl 818,,K5
Gl 865,,Gl 865,,
GJ 1284,,GJ 1284,,M2Ve
NN 3097,,NN 3097,,dM3.5
NN 3117,,NN 3117,,dM2
NN 3118 B,,NN 3118 B,,DA6
NN 3208,,NN 3208,,m
NN 3256,,NN 3256,,M3
GJ 1096,,GJ 1096,,m+
NN 3856,,NN 3856,,m
NN 4029,,NN 4029,,m
GJ 1228,,GJ 1228,,DXP8
NN 4109,,NN 4109,,M3.5
NN 4276,,NN 4276,,m
NN 4337,,NN 4337,,M2
NN 4352,,NN 4352,,M2
GJ 1021,,GJ 1021,,G5IV
Hip 12261,,,,
Hip 25647,,,,K1III(p)
BD+02°1729,,Gl 281,,M0
Gl 364,,Gl 364,,G0V
20 Leonis Minoris,20 Leonis Minoris,Gl 376,,G1V
Gl 378,,Gl 378,,M2
Hip 79431,,,,
GJ 2128,,GJ 2128,,M3.5
NN 3181,,NN 3181,,M6
Gl 225.2B,,Gl 225.2B,,
Gl 225.2C,,Gl 225.2C,,K5 V
NN 3965,,NN 3965,,DA8
Gl 738 B,,Gl 738 B,,K1 V
Gl 14,,Gl 14,,M0
Gl 52,,Gl 52,,K7V
Gl 163,,Gl 163,,M
Gl 218,,Gl 218,,M2
16 Eta Leporis,16 Eta Leporis,Gl 225,,F1V
Gl 225.2,,Gl 225.2,,K3/K4V
Gl 738,,Gl 738,,G0V
Alderamin,5 Alpha Cephei,Gl 826,Alderamin,A7IV-V
Gl 792,,Gl 792,,M4
Gl 815 B,,Gl 815 B,,
Nu Phoenicis,Nu Phoenicis,Gl 55,,F8V
Gl 141,,Gl 141,,K5V
Gl 240,,Gl 240,,K0
Gl 264.1B,,Gl 264.1B,,K0V
Gl 483,,Gl 483,,K3V
19 Draconis,19 Draconis,Gl 648,,F6Vvar
31 Aquilae,31 Aquilae,Gl 759,,G8IVvar
Gl 815,,Gl 815,,M3Ve
Gl 838.6,,Gl 838.6,,M3
GJ 1279,,GJ 1279,,K5V
Gl 40 B,,Gl 40 B,,m
NN 3069,,NN 3069,,m
GJ 1050,,GJ 1050,,m
NN 3213,,NN 3213,,m
NN 3235,,NN 3235,,k-m
NN 3247,,NN 3247,,m
GJ 1081,,GJ 1081,,k-m
Gl 288 B,,Gl 288 B,,m
GJ 2070,,GJ 2070,,M3.5
NN 3753,,NN 3753,,DA4
Gl 599 B,,Gl 599 B,,DA7
NN 3953,,NN 3953,,m
NN 4216,,NN 4216,,M3.5
NN 4367,,NN 4367,,m
Gl 40,,Gl 40,,K5V
Gl 288,,Gl 288,,G0V
Gl 599,,Gl 599,,G6IV
GJ 1006 B,,GJ 1006 B,,M4.5
GJ 1059,,GJ 1059,,m
Gl 458 B,,Gl 458 B,,m
GJ 1204,,GJ 1204,,m
NN 3084,,NN 3084,,M2V:
Gl 258,,Gl 258,,M5
Gl 433.1,,Gl 433.1,,DA
BD+55°1519,,Gl 458,,M2
Mu Arae,Mu Arae,Gl 691,,G5V
GJ 2021,,GJ 2021,,m
NN 3198,,NN 3198,,M3
NN 3233,,NN 3233,,G5
GJ 1062,,GJ 1062,,M2
NN 3279,,NN 3279,,m
NN 3426,,NN 3426,,m
NN 3503,,NN 3503,,m
NN 3542,,NN 3542,,m
NN 3720,,NN 3720,,m
GJ 1158,,GJ 1158,,M4
NN 4185,,NN 4185,,m
NN 4186 B,,NN 4186 B,,m
NN 4306,,NN 4306,,M0
Gl 125,,Gl 125,,M2
BD-07°699,,Gl 156,,M0V
Gl 246,,Gl 246,,DAn
Gl 263,,Gl 263,,M5
Gl 480,,Gl 480,,M4
30 Delta Aquilae,30 Delta Aquilae,Gl 760,,F0IV
GJ 2147,,GJ 2147,,
Gl 791,,Gl 791,,M3
Gl 862,,Gl 862,,K4V
51 Pegasi,51 Pegasi,Gl 882,,G5V
Gl 25 B,,Gl 25 B,,G8 V
NN 3077,,NN 3077,,m
NN 3078 B,,NN 3078 B,,m
NN 3162,,NN 3162,,DC
Gl 316.1,,Gl 316.1,,m
Gl 720 B,,Gl 720 B,,m
Gl 25,,Gl 25,,K1V+...
19 Phi 2 Ceti,19 Phi 2 Ceti,Gl 37,,F7IV-V
Gl 227,,Gl 227,,K0
Gl 319 B,,Gl 319 B,,M5
Hip 69578,,,,
28 Sigma Boötis,28 Sigma Boötis,Gl 557,,F3Vwvar
Gl 720,,Gl 720,,M2
BD+32°3411,,Gl 758,,G8V
GJ 1014,,GJ 1014,,
Gl 101.1,,Gl 101.1,,m
NN 3296,,NN 3296,,m
NN 3404,,NN 3404,,m
NN 3405 B,,NN 3405 B,,m
NN 3654,,NN 3654,,M4
NN 3685,,NN 3685,,m
NN 3686 B,,NN 3686 B,,m
Gl 492,,Gl 492,,DC9
Gl 527 B,,Gl 527 B,,M2
NN 3815,,NN 3815,,m
Gl 626.2,,Gl 626.2,,DZA6
NN 4069,,NN 4069,,m
Gl 808,,Gl 808,,M2.5
BD-04°1244,,GJ 1085,,G4V
Hip 36349,,,,M1V:e...
GJ 1175,,GJ 1175,,K1V
4 Tau Boötis,4 Tau Boötis,Gl 527,,F7V
Hip 74702,,,,K0
NN 3916,,NN 3916,,K:...
Gl 731,,Gl 731,,M2
Gl 778,,Gl 778,,K1V
Gl 838,,Gl 838,,G2V
Hip 111391,,,,
GJ 1010 B,,GJ 1010 B,,m
GJ 1037,,GJ 1037,,DQ6
NN 3666,,NN 3666,,M3
Gl 704 B,,Gl 704 B,,K5 V
NN 4312,,NN 4312,,m
BD-02°3000,,Gl 372,,M0
Gl 397,,Gl 397,,K7V
Gl 496.1,,Gl 496.1,,K8V
Hip 76779,,,,K5V
99 Herculis,99 Herculis,Gl 704,,F7V
BD-20°5833,,Gl 782,,K4Vp
Gl 889.1,,Gl 889.1,,M1V:
Gl 891,,Gl 891,,
Gl 157 B,,Gl 157 B,,dM3 e
66 Alpha Geminorum,66 Alpha Geminorum,Gl 278 B,,A m
Gl 278 C,,Gl 278 C,,M0.5Ve
Gl 750 B,,Gl 750 B,,
NN 4129,,NN 4129,,k
Gl 802,,Gl 802,,dM5 e
Gl 157,,Gl 157,,K4V
Castor,66 Alpha Geminorum,Gl 278,Castor,A2Vm
Gl 548 B,,Gl 548 B,,M2
Gl 750,,Gl 750,,K9V...
Gl 781,,Gl 781,,M3
NN 3218,,NN 3218,,M2
NN 3261,,NN 3261,,dM5 e
NN 3294,,NN 3294,,k-m
NN 3320,,NN 3320,,M2.5
Gl 188 B,,Gl 188 B,,G4 V
NN 3463,,NN 3463,,m
NN 3492,,NN 3492,,k-m
NN 3625,,NN 3625,,m
NN 3690 B,,NN 3690 B,,m
Gl 461,,Gl 461,,M0 V
GJ 1167,,GJ 1167,,dM5
GJ 1169,,GJ 1169,,m
Gl 708.3,,Gl 708.3,,M5
NN 4102,,NN 4102,,M3.5
Gl 777 B,,Gl 777 B,,M4 :
NN 4262,,NN 4262,,k-m
GJ 1268,,GJ 1268,,m+
NN 4292,,NN 4292,,m
NN 4319,,NN 4319,,k
NN 4355,,NN 4355,,DA
GJ 1294,,GJ 1294,,M0V
NN 3121,,NN 3121,,DAs
BD+11°383,,Gl 112.1,,K5
104 Tau,104 Tau,Gl 188,,G4V
Gl 366,,Gl 366,,M2
Gl 375,,Gl 375,,M5
1 Chi Herculis,1 Chi Herculis,Gl 602,,F9V
BD+41°2695,,Gl 619,,M0
Gl 777,,Gl 777,,G6IV+...
Gl 32 B,,Gl 32 B,,K7 V
NN 3232,,NN 3232,,K7 V
NN 3366,,NN 3366,,m
GJ 1254,,GJ 1254,,m
Gl 3,,Gl 3,,K5V
Gl 32,,Gl 32,,K5V comp SB
Gl 156.2,,Gl 156.2,,K4V
Gl 377,,Gl 377,,M4
BD+42°2296,,Gl 462,,M0V
BD+03°2765,,NN 3781,,G5
Gl 637,,Gl 637,,M
NN 4273,,NN 4273,,M5
GJ 2010,,GJ 2010,,DA7
GJ 1033,,GJ 1033,,
NN 3183,,NN 3183,,m
NN 3223,,NN 3223,,DZ9
NN 3455,,NN 3455,,m
GJ 1118,,GJ 1118,,k-m
NN 3540,,NN 3540,,m
NN 3573,,NN 3573,,m
NN 3702,,NN 3702,,M4.5
GJ 1161 B,,GJ 1161 B,,
NN 3764,,NN 3764,,M3.5
GJ 1174,,GJ 1174,,M3
NN 3813,,NN 3813,,M2
NN 3884,,NN 3884,,M3.5
Gl 579,,Gl 579,,K7 V
NN 3910,,NN 3910,,m
NN 3945,,NN 3945,,M3.5
Gl 676 B,,Gl 676 B,,m
GJ 1226,,GJ 1226,,M3.5
Gl 734,,Gl 734,,dM0
Gl 734 B,,Gl 734 B,,
NN 4198,,NN 4198,,M3
Gl 856 B,,Gl 856 B,,
GJ 1269 B,,GJ 1269 B,,
Hip 55605,,,,M0
BD+35°2439,,Gl 508.2,,M0
Gl 676,,Gl 676,,M0
GJ 1264,,GJ 1264,,M2Ve
Gl 856,,Gl 856,,M0...
GJ 1013,,GJ 1013,,m
Gl 165,,Gl 165,,M3.5
Gl 294 B,,Gl 294 B,,k
Gl 294 C,,Gl 294 C,,
GJ 1183,,GJ 1183,,m
GJ 1183 B,,GJ 1183 B,,m
Gl 841 B,,Gl 841 B,,DQ7
Gl 872 B,,Gl 872 B,,M1
Gl 16,,Gl 16,,M0
Gl 152,,Gl 152,,K1V
Gl 264.1,,Gl 264.1,,G3V...
Gl 272,,Gl 272,,M2
Gl 294,,Gl 294,,G2V...
Gl 391,,Gl 391,,F2IV
BD+23°2359,,Gl 430.1,,
Gl 472,,Gl 472,,K0V
BD-13°5069,,Gl 724,,M
BD+08°4638,,Gl 824,,K2
Gl 828.2,,Gl 828.2,,M0
Gl 841,,Gl 841,,M0
46 Xi Pegasi,46 Xi Pegasi,Gl 872,,F7V
Gl 73,,Gl 73,,M3
GJ 1133,,GJ 1133,,DA7
Gl 405,,Gl 405,,M1.5
NN 3836,,NN 3836,,M2.5
Gl 607,,Gl 607,,M3
Gl 699.1,,Gl 699.1,,DA7
Gl 21,,Gl 21,,M0
GJ 1026,,GJ 1026,,M
Hip 7765,,,,K0
Gl 150.1,,Gl 150.1,,M1
Hip 17695,,,,
Gl 238,,Gl 238,,M
NN 3563,,NN 3563,,
GJ 1135,,GJ 1135,,M0V
GJ 1136,,GJ 1136,,K7V
Gl 510,,Gl 510,,M
NN 3015 B,,NN 3015 B,,m
GJ 1011,,GJ 1011,,k-m
NN 3105,,NN 3105,,m
NN 3180,,NN 3180,,m
NN 3243,,NN 3243,,m
Gl 332 B,,Gl 332 B,,G5 V
NN 3553,,NN 3553,,m
NN 3566,,NN 3566,,m
NN 3758,,NN 3758,,M3.5
NN 3808,,NN 3808,,m
Gl 552.1,,Gl 552.1,,k-m
Gl 560 B,,Gl 560 B,,K5 V
NN 3871,,NN 3871,,k
NN 3929,,NN 3929,,M6 :
Gl 678 B,,Gl 678 B,,G8 IV-V
Gl 143,,Gl 143,,K5V
BD+60°1003,,Gl 247,,M0p
BD+12°1944,,Gl 330,,M5
Gl 332,,Gl 332,,F5V
GJ 1177,,GJ 1177,,K5/M1V+K5
Gl 531,,Gl 531,,K1V
Alpha Circini,Alpha Circini,Gl 560,,F1Vp
GJ 1203,,GJ 1203,,K:
Gl 678,,Gl 678,,G8IV-V
Gl 719,,Gl 719,,K7Vvar
BD-20°6185,,Gl 826.1,,K5V
Gl 844,,Gl 844,,M2
NN 3082,,NN 3082,,M4
GJ 1036,,GJ 1036,,
GJ 1049,,GJ 1049,,M0Ve
Gl 181,,Gl 181,,M2
56 Psi 5 Aurigae,56 Psi 5 Aurigae,Gl 245,,G0V
Gl 322,,Gl 322,,K5
Gl 553,,Gl 553,,K7V
Gl 907,,Gl 907,,M1
Gl 98 B,,Gl 98 B,,K7 V
GJ 2095,,GJ 2095,,DA6
NN 3937,,NN 3937,,dM4.5-5
Gl 762,,Gl 762,,m+
Gl 905.2B,,Gl 905.2B,,DA4
Gl 98,,Gl 98,,K7V:
Gl 298,,Gl 298,,M
Gl 538,,Gl 538,,G8V
Gl 540,,Gl 540,,M2
NN 3860,,NN 3860,,K0
NN 3972,,NN 3972,,M:
Hip 110719,,,,
Gl 905.2,,Gl 905.2,,M5
GJ 1025,,GJ 1025,,
NN 3142,,NN 3142,,m
Gl 101,,Gl 101,,M3.5
Gl 130,,Gl 130,,M3
NN 3225,,NN 3225,,m
NN 3286,,NN 3286,,M3.5
GJ 2040,,GJ 2040,,M0 V
Gl 291 B,,Gl 291 B,,G4 V
NN 3491,,NN 3491,,k
NN 3514,,NN 3514,,m
NN 3630,,NN 3630,,m
NN 3659,,NN 3659,,M3
NN 3672,,NN 3672,,m
NN 3681,,NN 3681,,M3.5
NN 3692,,NN 3692,,M4
NN 3731,,NN 3731,,M3.5
NN 3732 B,,NN 3732 B,,M3.5:
NN 3762,,NN 3762,,m
NN 3786,,NN 3786,,M4
NN 3878,,NN 3878,,M5
NN 3879 B,,NN 3879 B,,M7 :
GJ 2112,,GJ 2112,,M3 :
NN 3960,,NN 3960,,m
NN 4003,,NN 4003,,m
NN 4013,,NN 4013,,k-m
GJ 1222,,GJ 1222,,m
NN 4113,,NN 4113,,M2.5
NN 4132,,NN 4132,,k-m
NN 4202,,NN 4202,,M3.5
NN 4267,,NN 4267,,m
NN 4385,,NN 4385,,m
Caph,11 Beta Cassiopeiae,Gl 8,Caph,F2III-IV
39 Tau,39 Tau,Gl 160,,G5V
NN 3389,,NN 3389,,G5V
9 Puppis,9 Puppis,Gl 291,,G2V
NN 4079,,NN 4079,,M3
Gl 762.1,,Gl 762.1,,K1V
GJ 1058,,GJ 1058,,m
Gl 645,,Gl 645,,M1
Gl 56.5,,Gl 56.5,,K0
Gl 207.1,,Gl 207.1,,M2.5Ve
Gl 295,,Gl 295,,G8V
Gl 399,,Gl 399,,M
NN 3759,,NN 3759,,
BD+03°2766,,NN 3782 B,,G5
GJ 1181,,GJ 1181,,K5/M0V
Gl 548,,Gl 548,,M1
Gl 620,,Gl 620,,M2
Gl 786,,Gl 786,,K5
GJ 1042,,GJ 1042,,DZ7
NN 3173,,NN 3173,,DA8
NN 3241,,NN 3241,,dM3.1
Gl 168.2,,Gl 168.2,,m
NN 3328,,NN 3328,,g
Gl 200 B,,Gl 200 B,,M2
NN 3482 B,,NN 3482 B,,m
NN 3545,,NN 3545,,m
NN 3599,,NN 3599,,k-m
Gl 414.1B,,Gl 414.1B,,M3
NN 3673,,NN 3673,,m
NN 3684,,NN 3684,,m
NN 3843,,NN 3843,,M3
Gl 781.3,,Gl 781.3,,DA6
GJ 1251,,GJ 1251,,M4.5
NN 4176,,NN 4176,,m
NN 4177 B,,NN 4177 B,,m
NN 4184,,NN 4184,,m
NN 4219,,NN 4219,,M3.5
NN 4282,,NN 4282,,M3
NN 4381,,NN 4381,,m
Gl 57,,Gl 57,,K5
Gl 200,,Gl 200,,K3V
GJ 1095,,GJ 1095,,G0V
GJ 1141 B,,GJ 1141 B,,M2V:
Gl 414.1,,Gl 414.1,,M4
Hip 66182,,,,
Gl 641,,Gl 641,,G8V
BD-04°5804,,Gl 886,,K4V
BD+58°2605,,Gl 895.4,,K2V
NN 3289,,NN 3289,,m
GJ 1216,,GJ 1216,,m
Gl 264,,Gl 264,,K5V...
Gl 290,,Gl 290,,G8V
Gl 565,,Gl 565,,K3V
GJ 1026 B,,GJ 1026 B,,M3.5
NN 3414,,NN 3414,,k-m
GJ 1102,,GJ 1102,,DC9
GJ 1102 B,,GJ 1102 B,,DC9
Gl 348 B,,Gl 348 B,,K0
NN 4124,,NN 4124,,M3
NN 3222,,NN 3222,,K0V
NN 3481,,NN 3481,,M:
Gl 327,,Gl 327,,G3V
31 Tau 1 Hydrae,31 Tau 1 Hydrae,Gl 348,,F6V
BD-17°3088,,Gl 383,,K7V
NN 3942,,NN 3942,,M0
BD+45°2688,,Gl 709,,M0
BD+17°3729,,Gl 728,,M0
Hip 117081,,,,G:+...
NN 4383,,NN 4383,,M2V:
NN 3042,,NN 3042,,M2
NN 3129,,NN 3129,,dM5 :
NN 3143,,NN 3143,,m
NN 3248,,NN 3248,,m
NN 3478,,NN 3478,,M0
GJ 1108 B,,GJ 1108 B,,dM3 e
NN 3554,,NN 3554,,m
Gl 347 B,,Gl 347 B,,m
GJ 2074,,GJ 2074,,DA7
GJ 1132,,GJ 1132,,k
NN 3698,,NN 3698,,M3
NN 3699 B,,NN 3699 B,,m
NN 3840,,NN 3840,,k-m
NN 3848,,NN 3848,,DC8
NN 3923,,NN 3923,,M7
NN 4083,,NN 4083,,m
GJ 1231,,GJ 1231,,m
NN 4105,,NN 4105,,m
NN 4143,,NN 4143,,m
Iota Horologii,Iota Horologii,Gl 108,,G3IV
Gl 150.1B,,Gl 150.1B,,M2
Hip 34361,,,,M2V:
Gl 347,,Gl 347,,M5
Gl 486.1,,Gl 486.1,,G7V
Hip 69285,,,,
Gl 744,,Gl 744,,G8V
NN 3657,,NN 3657,,m
Gl 580 B,,Gl 580 B,,
GJ 1209,,GJ 1209,,m
Gl 820.1,,Gl 820.1,,DA6
Gl 28,,Gl 28,,K2V
BD+37°748,,Gl 134,,M1
37 Geminorum,37 Geminorum,Gl 252,,G0V
NN 3476,,NN 3476,,K1V
NN 3833,,NN 3833,,K5
Gl 580,,Gl 580,,K0V
NN 3920,,NN 3920,,M:
Gl 727,,Gl 727,,K0
Hip 92444,,,,Kp
Gl 912,,Gl 912,,
GJ 1024,,GJ 1024,,m
GJ 1060,,GJ 1060,,DA5
GJ 1060 B,,GJ 1060 B,,sdM3
Gl 153 B,,Gl 153 B,,M2.5 J
Gl 153 C,,Gl 153 C,,
Gl 670 B,,Gl 670 B,,K3
NN 3109,,NN 3109,,F8V
NN 3205,,NN 3205,,M4V:
Gl 155.1,,Gl 155.1,,M0V:
Gl 153,,Gl 153,,K0
Hip 17750,,,,M2...
GJ 2043,,GJ 2043,,M2V:
GJ 1141,,GJ 1141,,
10 Canum Venaticorum,10 Canum Venaticorum,Gl 484,,G0V
Gl 507.1,,Gl 507.1,,M2
15 Rho Coronae Borealis,15 Rho Coronae Borealis,Gl 606.2,,G2V
40 Xi Ophiuchi,40 Xi Ophiuchi,Gl 670,,F2/F3V
Gl 702.1,,Gl 702.1,,G3V
