Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Pollux,78 Beta Geminorum,Gl 286,Pollux,K0IIIvar
BD+25°3173,,Gl 649,,M2
BD+00°4810,,Gl 846,,M0
NN 3147,,NN 3147,,m+
Gl 170,,Gl 170,,M4.5
GJ 1119,,GJ 1119,,m
GJ 1134,,GJ 1134,,m
53 Xi Ursae Majoris,53 Xi Ursae Majoris,Gl 423,,G0 Ve
53 Xi Ursae Majoris,53 Xi Ursae Majoris,Gl 423 B,,G0 Ve
Gl 452.1,,Gl 452.1,,M3.5
Gl 508 B,,Gl 508 B,,
NN 4071,,NN 4071,,m
GJ 1265,,GJ 1265,,m
Gl 87,,Gl 87,,M3V:
Gl 117,,Gl 117,,K1V
Gl 508,,Gl 508,,K0
NN 3125,,NN 3125,,m
NN 3270,,NN 3270,,dM4 e
GJ 2036 B,,GJ 2036 B,,
Gl 352 B,,Gl 352 B,,
NN 3849,,NN 3849,,dM9
Iota Persei,Iota Persei,Gl 124,,G0V
Gl 341,,Gl 341,,M0V
Gl 352,,Gl 352,,M2
BD+63°869,,Gl 373,,M2
Gl 431,,Gl 431,,M
NN 3010,,NN 3010,,m
NN 3412,,NN 3412,,M:
GJ 1232,,GJ 1232,,k-m
Gl 766,,Gl 766,,dM4.5 J
Gl 766 B,,Gl 766 B,,
Gl 413.1,,Gl 413.1,,M:
Gl 617,,Gl 617,,M0Vvar
Gl 617 B,,Gl 617 B,,M3
BD+03°3465,,Gl 688,,K3V
Hip 109119,,,,A2
NN 4333,,NN 4333,,M:
Gl 47,,Gl 47,,dM2.5e
GJ 1041 B,,GJ 1041 B,,m
Gl 228 B,,Gl 228 B,,
Gl 635 B,,Gl 635 B,,K0 V
Gl 660 B,,Gl 660 B,,
Gl 909 B,,Gl 909 B,,M2
8 Delta Trianguli,8 Delta Trianguli,Gl 92,,G0V
NN 3192,,NN 3192,,
BD+10°1032,,Gl 228,,M3
BD+00°2989,,Gl 488,,M0.5V
40 Zeta Herculis,40 Zeta Herculis,Gl 635,,F9IV
Gl 653,,Gl 653,,K5V
Gl 660,,Gl 660,,G
Gl 909,,Gl 909,,K3V
NN 3928,,NN 3928,,m
GJ 1236,,GJ 1236,,m
NN 4281,,NN 4281,,M6.5
Gl 86,,Gl 86,,K0V
Gl 145,,Gl 145,,
NN 3459,,NN 3459,,M2
5 Beta Virginis,5 Beta Virginis,Gl 449,,F8V
BD+36°2393,,Gl 519,,M9
GJ 1004,,GJ 1004,,DA8
NN 3210,,NN 3210,,DZ7
GJ 1086,,GJ 1086,,DQP8
Gl 545,,Gl 545,,M4
GJ 1238,,GJ 1238,,m+
GJ 1148,,GJ 1148,,M5
GJ 1206,,GJ 1206,,DA
Gl 63,,Gl 63,,dM3
NN 3140,,NN 3140,,dM4
NN 3396,,NN 3396,,m
NN 3592,,NN 3592,,DZ9
NN 4078,,NN 4078,,m
GJ 1277,,GJ 1277,,M4
54 Piscium,54 Piscium,Gl 27,,K0V
Gl 79,,Gl 79,,K5/M0V
BD-11°916,,Gl 173,,M1
Gl 320,,Gl 320,,K2V
Denebola,94 Beta Leonis,Gl 448,Denebola,A3Vvar
Gl 553.1,,Gl 553.1,,M4
41 Gamma Serpentis,41 Gamma Serpentis,Gl 603,,F6V
Gl 654,,Gl 654,,M0V
BD+38°3095,,Gl 706,,K2V
BD+05°3993,,Gl 740,,M2V
Gl 107 B,,Gl 107 B,,M1 V
Gl 356 B,,Gl 356 B,,
Gl 505 B,,Gl 505 B,,M1 V
Gl 537,,Gl 537,,dM3 e
Gl 537 B,,Gl 537 B,,dM3 e
GJ 1187,,GJ 1187,,m
NN 3967,,NN 3967,,m
NN 4065,,NN 4065,,M3.5
Gl 754.1B,,Gl 754.1B,,dM5
13 Theta Persei,13 Theta Persei,Gl 107,,F7V
GJ 2036,,GJ 2036,,M2Ve
11 Leonis Minoris,11 Leonis Minoris,Gl 356,,G8IV-V
Gl 370,,Gl 370,,K5V
Gl 505,,Gl 505,,K2V
Gl 754.1,,Gl 754.1,,DAw...
Gl 325,,Gl 325,,K5 V
Gl 325 B,,Gl 325 B,,K6 V
Gl 70,,Gl 70,,M2V:
8 Eta Boötis,8 Eta Boötis,Gl 534,,G0IV
Arcturus,16 Alpha Boötis,Gl 541,Arcturus,K2IIIp
NN 4070,,NN 4070,,M4
NN 3149 B,,NN 3149 B,,M4
NN 4048,,NN 4048,,m
NN 4049 B,,NN 4049 B,,m
BD+11°878,,Gl 208,,K7
Hip 29052,,,,
Gl 277 B,,Gl 277 B,,M3.5Ve
Gl 361,,Gl 361,,M2
Gl 494,,Gl 494,,M2
NN 3804,,NN 3804,,M:
Wo 9520,,Wo 9520,,M9
NN 4122,,NN 4122,,
Gl 851,,Gl 851,,M2
Gl 902,,Gl 902,,K3V
NN 3500,,NN 3500,,M3
Gl 317,,Gl 317,,m
NN 3550,,NN 3550,,m
NN 3966,,NN 3966,,m
BD+44°4548,,Gl 2,,M2
Gl 103,,Gl 103,,K7V comp SB
Gl 118,,Gl 118,,M
BD+21°652,,Gl 169,,K7V
GJ 1075,,GJ 1075,,K7V
Gl 277,,Gl 277,,M4
Gl 277.1,,Gl 277.1,,M0
Gl 362,,Gl 362,,M4
Hip 48659,,,,
Gl 567,,Gl 567,,K2V
Gl 12,,Gl 12,,dM3.5
NN 3039,,NN 3039,,m
NN 3442,,NN 3442,,k-m
Gl 275.2,,Gl 275.2,,sdM5
Gl 275.2B,,Gl 275.2B,,DC
Gl 540.2,,Gl 540.2,,dM5.5e
NN 3873,,NN 3873,,M3.5
Gl 772,,Gl 772,,DA6
Gl 735,,Gl 735,,M2Ve
GJ 1234,,GJ 1234,,DC7
Zeta Doradus,Zeta Doradus,Gl 189,,F7V
Gl 360,,Gl 360,,M3
BD+22°2302,,Gl 410,,K
BD+45°2247,,Gl 572,,M0
Gl 4 B,,Gl 4 B,,M0.5 V
GJ 2020,,GJ 2020,,F0 V
NN 3266,,NN 3266,,m
29 Gamma Virginis,29 Gamma Virginis,Gl 482 B,,F0 V
Gl 585,,Gl 585,,M4
Gl 4,,Gl 4,,K2
Hip 21000,,,,F8+...
29 Gamma Virginis,29 Gamma Virginis,Gl 482,,F0V+...
Hip 69454,,,,M2V:
Gl 542,,Gl 542,,K3V
27 Lambda Serpentis,27 Lambda Serpentis,Gl 598,,G0Vvar
Gl 773.6,,Gl 773.6,,K5V...
Hip 98681,,,,
49 Delta Capricorni,49 Delta Capricorni,Gl 837,,A5mF2 (IV)
24 Iota Pegasi,24 Iota Pegasi,Gl 848,,F5V
GJ 1055,,GJ 1055,,m
Gl 403,,Gl 403,,dM3
Gl 414 B,,Gl 414 B,,M2 V
NN 3954,,NN 3954,,m
NN 4106,,NN 4106,,M2
GJ 1243,,GJ 1243,,m
Wo 9780,,Wo 9780,,M3.5
BD+47°612,,Gl 96,,M2
Gl 414,,Gl 414,,K8V
Gl 842,,Gl 842,,M2
NN 3331,,NN 3331,,M2
NN 3332 B,,NN 3332 B,,M3:
GJ 1140,,GJ 1140,,DA6
GJ 2092,,GJ 2092,,DA/F
NN 3727,,NN 3727,,M2
NN 3728 B,,NN 3728 B,,g
GJ 1179,,GJ 1179,,dM4 :
GJ 1179 B,,GJ 1179 B,,DC9
Gl 669 B,,Gl 669 B,,dM5 e
GJ 1223,,GJ 1223,,m
NN 3060,,NN 3060,,
Gl 82,,Gl 82,,M4Ve
NN 3992,,NN 3992,,
Gl 669,,Gl 669,,M4
GJ 1053,,GJ 1053,,sdM6
Zeta 1 Reticuli,Zeta 1 Reticuli,Gl 136,,G2V
Zeta 2 Reticuli,Zeta 2 Reticuli,Gl 138,,G1V
Gl 179,,Gl 179,,M4
Zeta Trianguli Australis,Zeta Trianguli Australis,Gl 624,,F9V
Gl 798,,Gl 798,,K7V
Gl 821,,Gl 821,,M3
NN 3435,,NN 3435,,DA4
NN 3518,,NN 3518,,m
NN 3533,,NN 3533,,k-m
Gl 359,,Gl 359,,M4
NN 3647,,NN 3647,,dM4
NN 3800,,NN 3800,,m
GJ 1263,,GJ 1263,,M3.5
GJ 1288,,GJ 1288,,m
Gl 211,,Gl 211,,K1V
Gl 309,,Gl 309,,K0V
NN 3052,,NN 3052,,m
Gl 64,,Gl 64,,DA7
NN 3263,,NN 3263,,M3.5
NN 3285,,NN 3285,,DC8
NN 3333,,NN 3333,,k
NN 3567,,NN 3567,,M2
Gl 590,,Gl 590,,M4
NN 4004,,NN 4004,,m
NN 4098,,NN 4098,,m
NN 4201,,NN 4201,,m
NN 4350,,NN 4350,,M4
BD+27°1348,,Gl 268.3,,
Gl 381,,Gl 381,,M0
Beta Trianguli Australis,Beta Trianguli Australis,Gl 601,,F2III
Gl 671,,Gl 671,,M4
NN 3356,,NN 3356,,M3.5
Gl 914 B,,Gl 914 B,,K6 V
85 Pegasi,85 Pegasi,Gl 914,,G3V
Gl 91,,Gl 91,,
Gl 180,,Gl 180,,M3
NN 3028,,NN 3028,,M6
NN 3250,,NN 3250,,k-m
GJ 1068,,GJ 1068,,pec
GJ 1101,,GJ 1101,,m
NN 3466,,NN 3466,,M4
NN 3497,,NN 3497,,dM5.2
Gl 324 B,,Gl 324 B,,M3.5
NN 3543,,NN 3543,,M2
Gl 843,,Gl 843,,M3
Gl 212,,Gl 212,,M1
55 Rho 1 Cancri,55 Rho 1 Cancri,Gl 324,,G8V
BD-09°3070,,Gl 390,,M0
Hip 55042,,,,M
Gl 435,,Gl 435,,K5V
Gl 806,,Gl 806,,M3
Gl 26,,Gl 26,,dM4
GJ 1029,,GJ 1029,,m
Gl 737 B,,Gl 737 B,,K5 V
Gl 836.5,,Gl 836.5,,DQ6
BD+41°328,,Gl 67,,G2V
Gl 142,,Gl 142,,K5V
15 Lambda Aurigae,15 Lambda Aurigae,Gl 197,,G0V
GJ 1097,,GJ 1097,,
BD-12°2449,,Gl 302,,K0V
Hip 84051,,,,
Gl 737,,Gl 737,,M2V
NN 3112,,NN 3112,,DA7
NN 3292,,NN 3292,,m
NN 3357,,NN 3357,,M4
Gl 261,,Gl 261,,DA
NN 3780,,NN 3780,,m
GJ 1215,,GJ 1215,,m
NN 4062,,NN 4062,,m
GJ 1248,,GJ 1248,,k-m
NN 4154,,NN 4154,,m
Gl 810,,Gl 810,,M3.5 J
Gl 810 B,,Gl 810 B,,
Gl 95,,Gl 95,,G8V
Gl 192,,Gl 192,,M5
BD+06°2182,,Gl 349,,K3V
GJ 2138,,GJ 2138,,M1V:
GJ 2045,,GJ 2045,,m
NN 3668,,NN 3668,,m
Gl 575 B,,Gl 575 B,,dG2
GJ 1210,,GJ 1210,,m
GJ 1218,,GJ 1218,,m
NN 4054,,NN 4054,,DC:9
NN 4326,,NN 4326,,M4
NN 4387,,NN 4387,,M4
Gl 206,,Gl 206,,M4Ve
Hip 27887,,,,K3V
GJ 2069,,GJ 2069,,M5Ve
NN 3708,,NN 3708,,
44 Boötis,44 Boötis,Gl 575,,G2V + G2V
Gl 620.1B,,Gl 620.1B,,DA
BD+67°1014,,Gl 675,,K0V
BD+08°4887,,Gl 863,,M0V:
GJ 1073,,GJ 1073,,k
