CountyId,AccommodationFood,AdministrativeSupportWaste,AgricultureForestryFishingHunting,AllSectors,ArtsEntertainmentRecreation,BDG25,Construction,Education,FinanceInsurance,GDPPerCapita,HealthcareSocialAssistance,Income,IndustriesNotClassified,Information,Management,Manufacturing,MiningQuarryingOilGas,OtherServices,PopulationDensity,Poverty,ProfessionalScientificTechnical,RealEstate,RetailTrade,SubstanceAbuse,TransportationWarehousing,Unemployment,Utilities,WholesaleTrade
51061,39029.0,22400.0,2114.0,764562.0,7119.0,9415.0,101253.0,11552.0,52879.0,39600.0,130735.0,89610,84.0,25497.0,NA,45521.0,4657.0,45208.0,84.9,6.8,133677.0,9604.0,85152.0,16.1,11093.0,3.4,9489.0,26665.0
18057,322678.0,317830.0,1814.0,6534100.0,58216.0,67794.0,396679.0,92999.0,1212329.0,39521.0,886911.0,91844,165.0,163558.0,549225.0,301294.0,12216.0,163374.0,459.2,4.7,803324.0,207250.0,465104.0,8.1,63959.0,3.4,125076.0,390099.0
08037,187791.0,64999.0,228.0,1169399.0,123107.0,12589.0,154116.0,11875.0,54098.0,39497.0,126267.0,75191,87.0,20658.0,10164.0,15279.0,NA,54063.0,24.7,7.6,76849.0,82655.0,129765.0,8.1,24722.0,2.5,4332.0,28253.0
51095,79690.0,86027.0,NA,997448.0,62671.0,13503.0,65169.0,3542.0,50917.0,39133.0,161545.0,77668,110.0,16401.0,NA,132906.0,380.0,24272.0,336.6,7.1,99692.0,27144.0,75930.0,8.1,44624.0,3.8,NA,17383.0
44001,27992.0,13032.0,NA,460600.0,12819.0,8112.0,31593.0,75999.0,13552.0,38893.0,74666.0,75324,302.0,7533.0,1651.0,81318.0,NA,18155.0,2051.8,9.3,22354.0,10532.0,38440.0,16.1,5853.0,5.0,NA,24363.0
20091,474593.0,1178253.0,249.0,17532089.0,103836.0,126987.0,993935.0,215818.0,2379513.0,38827.0,1885667.0,83007,815.0,1703539.0,1284783.0,1403166.0,13988.0,361484.0,946.1,5.5,2235251.0,261914.0,1027926.0,10.1,521355.0,3.7,46938.0,1439066.0
51043,3025.0,3562.0,646.0,130036.0,741.0,1846.0,20469.0,14812.0,6138.0,38748.0,22357.0,71789,NA,2653.0,NA,26704.0,NA,5047.0,71.6,8.4,9649.0,878.0,6289.0,14.1,867.0,3.3,NA,6117.0
38105,52107.0,63498.0,NA,1788591.0,5481.0,2935.0,213156.0,2997.0,23696.0,38738.0,64301.0,89860,120.0,8423.0,NA,30091.0,703534.0,27033.0,9.5,7.8,72744.0,88443.0,83963.0,8.1,147386.0,3.7,19064.0,173311.0
17043,850002.0,2307464.0,653.0,35028489.0,175109.0,177314.0,2030182.0,572572.0,3157519.0,38570.0,3696137.0,81616,808.0,1366592.0,4066347.0,3228056.0,1456.0,982560.0,2710.3,7.1,3574188.0,714070.0,1786611.0,12.1,1363875.0,4.4,540705.0,4613583.0
51735,3054.0,1587.0,NA,33072.0,NA,1887.0,4882.0,NA,1711.0,38444.0,4201.0,86135,NA,NA,NA,NA,NA,2801.0,745.4,5.4,2616.0,719.0,6682.0,18.1,505.0,3.6,NA,NA
33015,290609.0,458568.0,700.0,6491389.0,67537.0,52427.0,479246.0,114267.0,606247.0,38399.0,733208.0,87103,235.0,248400.0,241043.0,853985.0,1791.0,146532.0,399.1,5.2,587418.0,66880.0,719848.0,14.1,205319.0,3.1,119989.0,549567.0
24009,45084.0,23842.0,NA,809970.0,10324.0,10497.0,105930.0,5485.0,19744.0,38260.0,157279.0,98937,107.0,24950.0,2586.0,23887.0,NA,31408.0,346.5,5.9,107828.0,17683.0,78570.0,16.1,13962.0,4.1,NA,16893.0
