CountyId,Total,NaturalResources,Construction,Manufacturing,WholesaleTrade,RetailTrade,TransportationUtilities,Information,Finance,ProfessionalScientific,Education,ArtsEntertainment,OtherServices,Administration
51640,2842,0.985,2.885,21.393,1.232,16.678,4.996,0.915,2.533,8.269,19.810,11.049,5.595,3.659
16035,2877,15.016,6.882,11.470,3.024,8.481,3.997,1.251,2.642,3.789,26.660,6.847,2.711,7.230
45039,8693,2.738,4.360,19.337,1.150,9.134,9.490,0.840,4.889,6.948,20.373,7.937,4.406,8.398
16083,36316,8.685,5.199,9.552,2.924,14.520,5.670,1.559,4.486,7.661,21.745,9.101,5.303,3.596
12121,15676,6.028,6.864,6.417,2.762,15.285,6.175,1.167,3.910,6.386,20.458,8.216,5.862,10.468
30027,5579,13.121,9.590,4.463,1.452,9.339,3.424,1.810,3.728,7.259,24.951,6.937,7.474,6.453
29177,10147,2.641,6.662,17.562,3.499,8.948,7.874,2.208,4.524,6.810,22.460,5.499,6.416,4.898
29027,19844,3.276,7.599,8.048,2.242,10.693,7.060,1.356,5.170,5.876,25.312,8.098,4.727,10.542
18121,6730,5.840,7.325,20.297,4.443,9.019,3.522,1.709,3.551,6.716,16.895,8.276,5.854,6.553
21185,29304,1.304,5.641,13.384,2.948,11.435,5.358,2.088,8.603,9.081,23.103,8.883,4.528,3.645
53033,1079601,0.554,4.600,9.983,2.855,11.574,4.592,3.607,6.036,18.226,20.184,9.750,4.714,3.324
18057,154190,0.636,4.497,12.398,4.054,10.738,3.084,2.336,10.228,13.612,23.557,7.552,4.188,3.120
29071,48336,1.657,9.808,20.165,2.580,12.010,5.160,1.808,4.742,8.768,18.984,7.777,4.018,2.524
53039,7766,8.911,10.404,11.628,2.176,8.511,7.468,3.554,2.949,10.005,18.800,6.155,4.314,5.125
22109,48450,12.524,8.161,8.355,2.951,12.506,6.590,1.185,4.632,6.873,17.459,9.628,5.515,3.620
51595,2074,2.122,5.834,10.463,1.157,12.729,4.725,0.000,3.520,5.497,23.770,4.388,14.127,11.668
20051,16045,6.968,5.198,7.678,2.879,13.076,3.640,2.649,4.350,5.859,30.327,8.489,4.899,3.989
31151,7130,6.886,4.937,27.139,1.543,9.102,6.045,0.393,3.058,4.811,24.362,4.180,4.684,2.861
40115,12922,4.465,5.943,13.195,1.439,10.850,4.891,0.619,3.885,4.697,24.748,14.905,4.581,5.781
37089,46387,2.358,8.720,13.995,2.932,12.812,2.755,1.559,5.368,8.852,24.507,8.602,4.909,2.632
48117,8501,14.339,7.446,14.716,2.012,11.575,7.105,1.435,3.447,4.070,18.351,3.964,7.023,4.517
6085,915619,0.587,5.145,18.543,2.203,9.494,2.770,4.355,4.788,19.000,18.512,7.938,4.239,2.427
46041,1900,15.474,6.842,1.158,0.737,6.579,3.316,1.053,5.842,2.316,33.105,5.842,2.684,15.053
12127,199287,0.844,7.480,6.594,2.006,14.958,4.454,1.784,6.680,10.878,22.368,12.130,5.055,4.771
8057,764,28.403,9.031,1.702,3.141,10.471,6.806,0.000,0.000,4.581,10.209,12.958,3.927,8.770
19117,4122,4.512,5.410,9.170,5.628,22.222,4.440,1.456,6.744,3.348,22.804,3.518,6.963,3.785
35006,9625,7.626,5.299,3.491,0.977,11.979,3.948,1.184,1.340,6.047,27.906,15.429,4.094,10.681
6115,25499,5.247,7.479,4.839,2.459,12.777,4.761,1.890,3.686,10.675,22.715,9.326,4.086,10.059
5011,4180,9.067,7.201,15.789,2.321,13.038,3.636,0.502,4.665,4.713,26.005,3.612,3.373,6.077
48305,2409,16.397,7.721,3.487,4.193,12.287,7.804,0.664,4.317,3.944,21.295,4.857,4.483,8.551
27025,27553,1.372,10.453,16.107,2.541,10.583,5.517,0.936,4.929,7.629,24.567,6.025,4.678,4.664
2068,1210,8.678,6.198,0.661,0.000,3.884,8.760,0.579,0.909,3.884,12.066,43.471,3.554,7.355
46053,2007,18.186,7.922,1.395,2.342,11.261,6.876,1.196,6.378,2.890,26.158,7.573,3.587,4.235
46015,2583,16.647,4.762,2.710,3.407,8.479,2.981,2.633,5.381,4.026,30.662,8.788,2.904,6.620
46027,7510,4.567,4.927,6.272,1.278,13.688,2.330,2.077,4.447,3.555,34.354,15.326,3.848,3.329
51730,12898,0.217,2.923,10.645,1.365,14.072,6.435,1.186,3.241,9.242,27.252,11.149,4.326,7.947
1021,17895,3.230,12.422,14.177,2.347,13.395,7.293,1.056,6.130,6.683,15.781,5.281,6.326,5.879
9015,58842,1.827,5.989,12.613,2.789,13.538,4.709,1.378,4.526,7.719,27.322,9.950,3.934,3.705
36071,171651,0.777,5.822,7.491,3.378,13.757,6.224,2.545,5.816,9.004,25.692,7.995,4.717,6.784
6101,37520,8.843,8.316,6.700,2.377,13.062,5.592,0.890,4.869,7.441,22.468,8.841,4.259,6.341
1057,6122,6.419,5.374,23.391,1.029,10.666,6.975,1.290,3.610,4.149,23.881,6.583,3.545,3.087
16021,3888,12.371,3.807,14.686,1.080,9.979,3.781,1.440,2.829,7.587,21.271,6.816,8.128,6.224
1061,10419,6.527,8.667,12.084,5.480,9.943,8.341,0.672,3.359,6.488,19.887,6.805,5.634,6.114
20045,61881,1.026,4.292,6.758,2.002,12.025,2.867,2.951,5.580,10.346,32.105,11.718,4.229,4.101
1075,5391,3.024,7.642,20.237,2.541,9.813,7.587,2.356,4.174,6.362,18.605,7.346,6.140,4.174
38075,1301,28.132,7.917,4.304,4.304,7.917,3.075,0.846,7.456,5.534,14.758,4.151,3.920,7.686
47143,12496,1.777,6.290,25.408,0.968,13.396,9.939,1.368,3.273,6.698,18.054,6.282,3.377,3.169
2105,1086,11.326,7.090,8.195,0.000,8.932,11.050,3.131,1.381,5.433,15.009,15.746,2.670,10.037
13153,64013,0.620,4.507,9.775,1.768,10.921,4.669,1.058,5.090,8.733,19.794,9.265,4.905,18.895
37007,9875,5.823,6.491,21.954,3.322,10.603,8.375,0.668,2.197,5.205,19.524,6.137,3.048,6.653
55029,13169,2.719,7.540,17.420,1.936,11.557,3.394,1.124,4.769,7.092,17.875,14.808,5.202,4.564
42045,269220,0.334,5.009,7.767,2.485,10.418,5.193,2.098,8.009,11.935,30.346,8.316,4.750,3.341
27051,2943,10.771,8.835,9.582,2.786,11.961,4.825,1.019,4.689,5.403,24.941,5.097,6.728,3.364
44005,40977,0.732,5.835,7.936,2.123,9.896,2.709,1.454,6.777,11.633,26.569,14.113,4.551,5.671
19019,10375,6.496,7.672,21.176,3.480,11.219,4.896,1.330,4.945,3.855,21.455,5.349,4.270,3.855
41019,39563,5.975,5.692,11.266,2.250,12.312,5.136,1.337,4.153,7.178,22.900,10.118,5.996,5.687
13131,9291,8.675,8.137,13.562,3.164,13.023,4.413,2.056,5.468,6.049,22.732,3.627,4.682,4.413
38099,5457,19.150,6.835,9.529,3.317,11.050,5.846,1.759,4.398,2.639,23.713,4.251,3.757,3.757
8059,294390,1.608,7.202,7.562,3.086,11.203,4.352,3.172,7.170,14.879,19.762,9.450,5.082,5.471
18059,35339,1.310,7.063,13.857,3.226,12.038,3.829,1.706,6.364,10.113,23.396,6.274,4.695,6.129
20171,2613,28.779,9.759,5.626,3.368,3.827,4.210,1.760,6.927,0.918,18.217,3.253,8.879,4.478
19173,3061,9.637,6.076,23.228,1.535,8.167,4.116,0.686,4.378,3.104,25.155,3.888,5.456,4.574
36111,85617,1.147,6.959,6.573,2.723,12.918,4.880,2.116,5.428,8.578,29.423,9.511,4.604,5.140
47007,4739,5.022,15.510,15.488,2.490,8.799,5.613,2.617,4.579,5.381,19.688,5.423,2.068,7.322
2230,676,5.030,4.586,13.314,0.296,14.201,21.893,0.888,2.219,2.663,8.580,16.420,2.071,7.840
54087,4892,9.955,9.873,5.642,1.083,16.169,6.521,1.349,4.988,5.008,24.469,6.705,4.742,3.496
48271,1213,8.491,12.943,0.412,0.000,5.029,10.800,0.907,2.473,2.226,23.001,4.617,3.545,25.556
40005,4695,9.031,7.519,8.328,1.917,11.800,5.644,0.852,3.962,5.240,21.491,9.499,5.389,9.329
45043,22756,2.817,6.803,13.012,2.162,14.115,3.247,0.945,5.783,9.105,20.302,14.884,4.003,2.821
20111,16784,2.407,7.233,16.927,1.746,12.125,5.315,1.114,2.699,3.879,28.903,8.687,5.630,3.337
17139,6963,2.872,7.080,25.535,3.217,12.523,5.113,2.398,3.619,4.624,20.666,5.960,3.677,2.714
39099,103169,0.900,5.942,13.890,2.635,13.522,4.509,1.683,4.824,8.172,25.527,10.135,4.749,3.513
48323,20309,10.197,6.204,4.111,1.669,11.916,6.751,0.502,4.156,3.038,29.179,9.572,3.338,9.365
13113,49795,0.225,3.775,9.525,3.185,10.186,14.054,2.334,6.304,10.427,20.600,8.310,5.075,6.001
8014,31807,1.163,5.206,11.148,3.421,10.234,3.575,4.310,5.801,17.826,21.171,8.209,4.279,3.656
18021,11766,3.306,5.278,20.134,1.819,11.661,4.657,0.586,3.638,5.703,22.905,8.576,5.082,6.655
